x	y	b	h	K	Ss	Q	q	fixed	track
1605.244669	-1615.73387	10	15	1	5.00E-05	0	0	0	0
662.0596068	-1770.987856	10	15	1	5.00E-05	0	0	0	0
-1805.144844	1207.082917	10	15	1	5.00E-05	0	0	0	0
346.0272026	-570.765574	10	15	1	5.00E-05	0	0	0	0
59.21323035	1223.729828	10	15	1	5.00E-05	0	0	0	0
-217.3407811	-1173.978298	10	15	1	5.00E-05	0	0	0	0
-1434.669982	-251.1486035	10	15	1	5.00E-05	0	0	0	0
552.6079172	763.1847922	10	15	1	5.00E-05	0	0	0	0
-107.6407968	-1049.965673	10	15	1	5.00E-05	0	0	0	0
1102.680637	-1069.323705	10	15	1	5.00E-05	0	0	0	0
-1451.420675	815.3633483	10	15	1	5.00E-05	0	0	0	0
-1302.007184	1169.636605	10	15	1	5.00E-05	0	0	0	0
-1641.054792	-806.014976	10	15	1	5.00E-05	0	0	0	0
-538.690843	604.083897	10	15	1	5.00E-05	0	0	0	0
67.74753623	-1220.427308	10	15	1	5.00E-05	0	0	0	0
429.8220533	-973.4481019	10	15	1	5.00E-05	0	0	0	0
-1723.97102	-1223.552928	10	15	1	5.00E-05	0	0	0	0
1919.60794	-795.8130822	10	15	1	5.00E-05	0	0	0	0
122.3997588	1788.543613	10	15	1	5.00E-05	0	0	0	0
203.8301421	39.12662499	10	15	1	5.00E-05	0	0	0	0
-1502.340444	1033.243026	10	15	1	5.00E-05	0	0	0	0
410.852609	-1844.977418	10	15	1	5.00E-05	0	0	0	0
-699.9969035	-816.9186423	10	15	1	5.00E-05	0	0	0	0
231.1803596	1358.510034	10	15	1	5.00E-05	0	0	0	0
-40.75345849	474.5881831	10	15	1	5.00E-05	0	0	0	0
-108.638513	921.5870457	10	15	1	5.00E-05	0	0	0	0
-853.8535267	-1210.757102	10	15	1	5.00E-05	0	0	0	0
1858.620047	1276.683573	10	15	1	5.00E-05	0	0	0	0
-1164.544474	599.8801946	10	15	1	5.00E-05	0	0	0	0
-1661.39909	91.00415304	10	15	1	5.00E-05	0	0	0	0
-913.8546009	-1003.282428	10	15	1	5.00E-05	0	0	0	0
1649.730443	519.3817466	10	15	1	5.00E-05	0	0	0	0
837.2051852	-891.2584842	10	15	1	5.00E-05	0	0	0	0
1174.044875	-223.30986	10	15	1	5.00E-05	0	0	0	0
737.8470178	1998.604089	10	15	1	5.00E-05	0	0	0	0
-1124.933215	1015.625943	10	15	1	5.00E-05	0	0	0	0
-1248.278225	37.44658634	10	15	1	5.00E-05	0	0	0	0
-1867.698409	-1795.075848	10	15	1	5.00E-05	0	0	0	0
1039.827375	-388.1399812	10	15	1	5.00E-05	0	0	0	0
-881.2766439	-520.1318069	10	15	1	5.00E-05	0	0	0	0
1857.485672	1841.653949	10	15	1	5.00E-05	0	0	0	0
1337.55075	488.9364194	10	15	1	5.00E-05	0	0	0	0
1220.885653	-1847.165	10	15	1	5.00E-05	0	0	0	0
981.0491125	-154.3987915	10	15	1	5.00E-05	0	0	0	0
-1469.13794	-1873.415431	10	15	1	5.00E-05	0	0	0	0
365.5734935	1038.603684	10	15	1	5.00E-05	0	0	0	0
356.8764626	454.1663121	10	15	1	5.00E-05	0	0	0	0
1818.566291	912.1053638	10	15	1	5.00E-05	0	0	0	0
1328.710119	-1089.954578	10	15	1	5.00E-05	0	0	0	0
56.97966398	-53.45272735	10	15	1	5.00E-05	-10.902	0	0	0
-1702.428232	744.5003995	10	15	1	5.00E-05	0	0	0	0
-1597.741541	-1125.814051	10	15	1	5.00E-05	0	0	0	0
-1663.903605	1100.454355	10	15	1	5.00E-05	0	0	0	0
-1635.409574	1987.074562	10	15	1	5.00E-05	0	0	0	0
-717.4223635	55.30017442	10	15	1	5.00E-05	0	0	0	0
-467.1442482	-1938.605001	10	15	1	5.00E-05	0	0	0	0
243.2862987	-693.4723871	10	15	1	5.00E-05	0	0	0	0
496.8401322	-468.2557648	10	15	1	5.00E-05	0	0	0	0
-1276.440006	-1711.690507	10	15	1	5.00E-05	0	0	0	0
566.005744	1521.633105	10	15	1	5.00E-05	0	0	0	0
426.7791456	647.2911245	10	15	1	5.00E-05	0	0	0	0
986.5636181	-1338.753497	10	15	1	5.00E-05	0	0	0	0
-1776.760594	1507.146849	10	15	1	5.00E-05	0	0	0	0
-1175.069068	-571.2901277	10	15	1	5.00E-05	0	0	0	0
1559.213121	-141.2716067	10	15	1	5.00E-05	0	0	0	0
-345.1436333	-164.821689	10	15	1	5.00E-05	0	0	0	0
-487.8142564	1711.648873	10	15	1	5.00E-05	0	0	0	0
711.9009518	971.4625905	10	15	1	5.00E-05	0	0	0	0
-948.487697	-41.9908218	10	15	1	5.00E-05	0	0	0	0
-1259.170464	-1201.402401	10	15	1	5.00E-05	0	0	0	0
-1785.319793	-1541.553444	10	15	1	5.00E-05	0	0	0	0
-291.1771186	-1405.975534	10	15	1	5.00E-05	0	0	0	0
969.2699012	1008.689785	10	15	1	5.00E-05	0	0	0	0
986.2540234	620.7131453	10	15	1	5.00E-05	0	0	0	0
-1769.534423	899.0043509	10	15	1	5.00E-05	0	0	0	0
-1740.823981	1694.556752	10	15	1	5.00E-05	0	0	0	0
-954.7743388	1182.324273	10	15	1	5.00E-05	0	0	0	0
-623.4933335	-1204.87738	10	15	1	5.00E-05	0	0	0	0
1467.852929	-9.038122999	10	15	1	5.00E-05	0	0	0	0
812.1113282	855.9654417	10	15	1	5.00E-05	0	0	0	0
-523.0003557	-18.28939724	10	15	1	5.00E-05	0	0	0	0
-1838.622422	-282.0659074	10	15	1	5.00E-05	0	0	0	0
-100.6164862	-366.711873	10	15	1	5.00E-05	0	0	0	0
1446.563712	1025.484255	10	15	1	5.00E-05	0	0	0	0
-375.4558744	687.3107444	10	15	1	5.00E-05	0	0	0	0
1709.81577	1182.683512	10	15	1	5.00E-05	0	0	0	0
-1023.205338	234.1446558	10	15	1	5.00E-05	0	0	0	0
-256.6199563	-404.513204	10	15	1	5.00E-05	0	0	0	1
517.094561	504.5430542	10	15	1	5.00E-05	0	0	0	0
1776.714207	-572.7836153	10	15	1	5.00E-05	0	0	0	0
-955.1986143	-1796.899729	10	15	1	5.00E-05	0	0	0	0
-220.4913512	-1758.773698	10	15	1	5.00E-05	0	0	0	0
352.9672738	-1267.153323	10	15	1	5.00E-05	0	0	0	0
-693.5753896	1078.361581	10	15	1	5.00E-05	0	0	0	0
-1317.978529	1940.570502	10	15	1	5.00E-05	0	0	0	0
-147.5060627	-22.64707432	10	15	1	5.00E-05	0	0	0	0
-401.1740481	-1099.615805	10	15	1	5.00E-05	0	0	0	0
-1969.799904	72.79717605	10	15	1	5.00E-05	0	0	0	0
-928.8578846	-1522.909879	10	15	1	5.00E-05	0	0	0	0
273.4940872	-1906.524052	10	15	1	5.00E-05	0	0	0	0
-2500	-2500	10	15	1	5.00E-05	0	0	2	0
-2500	0	10	15	1	5.00E-05	0	0	2	0
-2500	2500	10	15	1	5.00E-05	0	0	2	0
0	-2500	10	15	1	5.00E-05	0	0	2	0
0	2500	10	15	1	5.00E-05	0	0	2	0
2500	-2500	10	15	1	5.00E-05	0	0	2	0
2500	0	10	15	1	5.00E-05	0	0	2	0
2500	2500	10	15	1	5.00E-05	0	0	2	0
